a_single_date;year;month;day;week_of_year;quarter
2017/05/30;2017;5;30;3;2
2017/05/31;2017;5;31;4;2
2017/06/01;2017;6;1;5;2
2017/06/02;2017;6;2;6;2
2017/06/03;2017;6;3;7;2
2017/06/04;2017;6;4;1;2
2017/06/05;2017;6;5;2;2
2017/06/06;2017;6;6;3;2
2017/06/07;2017;6;7;4;2
2017/06/08;2017;6;8;5;2
2017/06/09;2017;6;9;6;2
2017/06/10;2017;6;10;7;2
2017/06/11;2017;6;11;1;2
2017/06/12;2017;6;12;2;2
2017/06/13;2017;6;13;3;2
2017/06/14;2017;6;14;4;2
2017/06/15;2017;6;15;5;2
2017/06/16;2017;6;16;6;2
2017/06/17;2017;6;17;7;2
2017/06/18;2017;6;18;1;2
2017/06/19;2017;6;19;2;2
2017/06/20;2017;6;20;3;2
2017/06/21;2017;6;21;4;2
2017/06/22;2017;6;22;5;2
2017/06/23;2017;6;23;6;2
2017/06/24;2017;6;24;7;2
2017/06/25;2017;6;25;1;2
2017/06/26;2017;6;26;2;2
2017/06/27;2017;6;27;3;2
2017/06/28;2017;6;28;4;2
2017/06/29;2017;6;29;5;2
2017/06/30;2017;6;30;6;2
2017/07/01;2017;7;1;7;3
2017/07/02;2017;7;2;1;3
2017/07/03;2017;7;3;2;3
2017/07/04;2017;7;4;3;3
2017/07/05;2017;7;5;4;3
2017/07/06;2017;7;6;5;3
2017/07/07;2017;7;7;6;3
2017/07/08;2017;7;8;7;3
2017/07/09;2017;7;9;1;3
2017/07/10;2017;7;10;2;3
2017/07/11;2017;7;11;3;3
2017/07/12;2017;7;12;4;3
2017/07/13;2017;7;13;5;3
2017/07/14;2017;7;14;6;3
2017/07/15;2017;7;15;7;3
2017/07/16;2017;7;16;1;3
2017/07/17;2017;7;17;2;3
2017/07/18;2017;7;18;3;3
2017/07/19;2017;7;19;4;3
2017/07/20;2017;7;20;5;3
2017/07/21;2017;7;21;6;3
2017/07/22;2017;7;22;7;3
2017/07/23;2017;7;23;1;3
2017/07/24;2017;7;24;2;3
2017/07/25;2017;7;25;3;3
2017/07/26;2017;7;26;4;3
2017/07/27;2017;7;27;5;3
2017/07/28;2017;7;28;6;3
2017/07/29;2017;7;29;7;3
2017/07/30;2017;7;30;1;3
2017/07/31;2017;7;31;2;3
2017/08/01;2017;8;1;3;3
2017/08/02;2017;8;2;4;3
2017/08/03;2017;8;3;5;3
2017/08/04;2017;8;4;6;3
2017/08/05;2017;8;5;7;3
2017/08/06;2017;8;6;1;3
2017/08/07;2017;8;7;2;3
2017/08/08;2017;8;8;3;3
2017/08/09;2017;8;9;4;3
2017/08/10;2017;8;10;5;3
2017/08/11;2017;8;11;6;3
2017/08/12;2017;8;12;7;3
2017/08/13;2017;8;13;1;3
2017/08/14;2017;8;14;2;3
2017/08/15;2017;8;15;3;3
2017/08/16;2017;8;16;4;3
2017/08/17;2017;8;17;5;3
2017/08/18;2017;8;18;6;3
2017/08/19;2017;8;19;7;3
2017/08/20;2017;8;20;1;3
2017/08/21;2017;8;21;2;3
2017/08/22;2017;8;22;3;3
2017/08/23;2017;8;23;4;3
2017/08/24;2017;8;24;5;3
2017/08/25;2017;8;25;6;3
2017/08/26;2017;8;26;7;3
2017/08/27;2017;8;27;1;3
2017/08/28;2017;8;28;2;3
2017/08/29;2017;8;29;3;3
2017/08/30;2017;8;30;4;3
2017/08/31;2017;8;31;5;3
2017/09/01;2017;9;1;6;3
2017/09/02;2017;9;2;7;3
2017/09/03;2017;9;3;1;3
2017/09/04;2017;9;4;2;3
2017/09/05;2017;9;5;3;3
2017/09/06;2017;9;6;4;3
2017/09/07;2017;9;7;5;3
2017/09/08;2017;9;8;6;3
2017/09/09;2017;9;9;7;3
2017/09/10;2017;9;10;1;3
2017/09/11;2017;9;11;2;3
2017/09/12;2017;9;12;3;3
2017/09/13;2017;9;13;4;3
2017/09/14;2017;9;14;5;3
2017/09/15;2017;9;15;6;3
2017/09/16;2017;9;16;7;3
2017/09/17;2017;9;17;1;3
2017/09/18;2017;9;18;2;3
2017/09/19;2017;9;19;3;3
2017/09/20;2017;9;20;4;3
2017/09/21;2017;9;21;5;3
2017/09/22;2017;9;22;6;3
2017/09/23;2017;9;23;7;3
2017/09/24;2017;9;24;1;3
2017/09/25;2017;9;25;2;3
2017/09/26;2017;9;26;3;3
2017/09/27;2017;9;27;4;3
2017/09/28;2017;9;28;5;3
2017/09/29;2017;9;29;6;3
2017/09/30;2017;9;30;7;3
2017/10/01;2017;10;1;1;4
2017/10/02;2017;10;2;2;4
2017/10/03;2017;10;3;3;4
2017/10/04;2017;10;4;4;4
2017/10/05;2017;10;5;5;4
2017/10/06;2017;10;6;6;4
2017/10/07;2017;10;7;7;4
2017/10/08;2017;10;8;1;4
2017/10/09;2017;10;9;2;4
2017/10/10;2017;10;10;3;4
2017/10/11;2017;10;11;4;4
2017/10/12;2017;10;12;5;4
2017/10/13;2017;10;13;6;4
2017/10/14;2017;10;14;7;4
2017/10/15;2017;10;15;1;4
2017/10/16;2017;10;16;2;4
2017/10/17;2017;10;17;3;4
2017/10/18;2017;10;18;4;4
2017/10/19;2017;10;19;5;4
2017/10/20;2017;10;20;6;4
2017/10/21;2017;10;21;7;4
2017/10/22;2017;10;22;1;4
2017/10/23;2017;10;23;2;4
2017/10/24;2017;10;24;3;4
2017/10/25;2017;10;25;4;4
2017/10/26;2017;10;26;5;4
2017/10/27;2017;10;27;6;4
2017/10/28;2017;10;28;7;4
2017/10/29;2017;10;29;1;4
2017/10/30;2017;10;30;2;4
2017/10/31;2017;10;31;3;4
2017/11/01;2017;11;1;4;4
2017/11/02;2017;11;2;5;4
2017/11/03;2017;11;3;6;4
2017/11/04;2017;11;4;7;4
2017/11/05;2017;11;5;1;4
2017/11/06;2017;11;6;2;4
2017/11/07;2017;11;7;3;4
2017/11/08;2017;11;8;4;4
2017/11/09;2017;11;9;5;4
2017/11/10;2017;11;10;6;4
2017/11/11;2017;11;11;7;4
2017/11/12;2017;11;12;1;4
2017/11/13;2017;11;13;2;4
2017/11/14;2017;11;14;3;4
2017/11/15;2017;11;15;4;4
2017/11/16;2017;11;16;5;4
2017/11/17;2017;11;17;6;4
2017/11/18;2017;11;18;7;4
2017/11/19;2017;11;19;1;4
2017/11/20;2017;11;20;2;4
2017/11/21;2017;11;21;3;4
2017/11/22;2017;11;22;4;4
2017/11/23;2017;11;23;5;4
2017/11/24;2017;11;24;6;4
2017/11/25;2017;11;25;7;4
2017/11/26;2017;11;26;1;4
2017/11/27;2017;11;27;2;4
2017/11/28;2017;11;28;3;4
2017/11/29;2017;11;29;4;4
2017/11/30;2017;11;30;5;4
2017/12/01;2017;12;1;6;4
2017/12/02;2017;12;2;7;4
2017/12/03;2017;12;3;1;4
2017/12/04;2017;12;4;2;4
2017/12/05;2017;12;5;3;4
2017/12/06;2017;12;6;4;4
2017/12/07;2017;12;7;5;4
2017/12/08;2017;12;8;6;4
2017/12/09;2017;12;9;7;4
2017/12/10;2017;12;10;1;4
2017/12/11;2017;12;11;2;4
2017/12/12;2017;12;12;3;4
2017/12/13;2017;12;13;4;4
2017/12/14;2017;12;14;5;4
2017/12/15;2017;12;15;6;4
2017/12/16;2017;12;16;7;4
2017/12/17;2017;12;17;1;4
2017/12/18;2017;12;18;2;4
2017/12/19;2017;12;19;3;4
2017/12/20;2017;12;20;4;4
2017/12/21;2017;12;21;5;4
2017/12/22;2017;12;22;6;4
2017/12/23;2017;12;23;7;4
2017/12/24;2017;12;24;1;4
2017/12/25;2017;12;25;2;4
2017/12/26;2017;12;26;3;4
2017/12/27;2017;12;27;4;4
2017/12/28;2017;12;28;5;4
2017/12/29;2017;12;29;6;4
2017/12/30;2017;12;30;7;4
2017/12/31;2017;12;31;1;4
2018/01/01;2018;1;1;2;1
2018/01/02;2018;1;2;3;1
2018/01/03;2018;1;3;4;1
2018/01/04;2018;1;4;5;1
2018/01/05;2018;1;5;6;1
2018/01/06;2018;1;6;7;1
2018/01/07;2018;1;7;1;1
2018/01/08;2018;1;8;2;1
2018/01/09;2018;1;9;3;1
2018/01/10;2018;1;10;4;1
2018/01/11;2018;1;11;5;1
2018/01/12;2018;1;12;6;1
2018/01/13;2018;1;13;7;1
2018/01/14;2018;1;14;1;1
2018/01/15;2018;1;15;2;1
2018/01/16;2018;1;16;3;1
2018/01/17;2018;1;17;4;1
2018/01/18;2018;1;18;5;1
2018/01/19;2018;1;19;6;1
2018/01/20;2018;1;20;7;1
2018/01/21;2018;1;21;1;1
2018/01/22;2018;1;22;2;1
2018/01/23;2018;1;23;3;1
2018/01/24;2018;1;24;4;1
2018/01/25;2018;1;25;5;1
2018/01/26;2018;1;26;6;1
2018/01/27;2018;1;27;7;1
2018/01/28;2018;1;28;1;1
2018/01/29;2018;1;29;2;1
2018/01/30;2018;1;30;3;1
2018/01/31;2018;1;31;4;1
2018/02/01;2018;2;1;5;1
2018/02/02;2018;2;2;6;1
2018/02/03;2018;2;3;7;1
2018/02/04;2018;2;4;1;1
2018/02/05;2018;2;5;2;1
2018/02/06;2018;2;6;3;1
2018/02/07;2018;2;7;4;1
2018/02/08;2018;2;8;5;1
2018/02/09;2018;2;9;6;1
2018/02/10;2018;2;10;7;1
2018/02/11;2018;2;11;1;1
2018/02/12;2018;2;12;2;1
2018/02/13;2018;2;13;3;1
2018/02/14;2018;2;14;4;1
2018/02/15;2018;2;15;5;1
2018/02/16;2018;2;16;6;1
2018/02/17;2018;2;17;7;1
2018/02/18;2018;2;18;1;1
2018/02/19;2018;2;19;2;1
